st_abbv,nicarid,rtnum,cnty,place,feature,strcture,location,latmap,longmap,year,laneson,lanesun,avdayno,yravg,strcstat,onserve,undserve,inspdate,brdgimno,rdimpno,totcstno,impcstyr,futdlyno,futyear,stat,suffrtno
LA,2260409045101079212,00020,017,70000,PEDESTRIAN O'PASS,I0020,04094510107921,32.45,-93.91,1970,00,04,59900,2014,,3,1,,,,,,,,,0
LA,226040904510117627A,00049,017,70000,"LINWOOD AVE, I-49, RAMP",I0020,I-20 OVER I-49 RAMP,32.5,-93.76,1993,01,03,47100,2014,,7,1,,,,,,,,,0
LA,226040904510117627B,00049,017,70000,"LINWOOD AVE, I-49, RAMP",I0020,I-20 OVER I-49 RAMP,32.5,-93.76,1993,01,03,47100,2014,,7,1,,,,,,,,,0
LA,2260409045101176612,00020,017,70000,I-20,CITYST,.1 MI EAST OF I-49,32.5,-93.76,1993,06,06,53300,2014,,5,1,,,,,,,,,0
LA,2260409045101181612,00020,017,70000,KCS RR OVER I-20,I0020,.8 MI EAST OF US 80,32.5,-93.75,1996,00,09,136900,2014,,2,1,,,,,,,,,0
LA,2260409045101186732,00020,017,70000,RAMP H/LA AVE.,I0020,1.3 MI EAST OF US 80,32.5,-93.75,1965,04,02,136900,2014,,1,1,,,,,,,,,0
LA,226040904510118981B,00001,017,70000,MARSHALL ST/LA 1/RRS.,I0020,I-20 OVER LA 1,32.51,-93.74,1965,02,04,31000,2014,,6,4,,,,,,,,,0
LA,226040904510118981C,00020,017,70000,MARSHALL ST/LA 1/RRS.,I0020,I-20 OVER LA 1,32.51,-93.74,1965,02,02,130200,2014,,6,4,,,,,,,,,0
LA,226040904510118982A,00020,017,70000,MARSHALL ST/LA 1/RRS.,I0020,I-20 OVER LA 1,32.51,-93.74,1965,02,02,130200,2014,,6,4,,,,,,,,,0
LA,226040904510118982B,00001,017,70000,MARSHALL ST/LA 1/RRS.,I0020,I-20 OVER LA 1,32.51,-93.74,1965,02,02,31000,2014,,6,4,,,,,,,,,0
LA,2260409045508054012,03132,017,70000,LA 3132/RAMPS/T&P RR,I0049,1.35M NORTH OF LA 526,32.42,-93.75,1991,03,04,42200,2014,,6,4,,,,,,,,,0
LA,2260409045508054022,03132,017,70000,LA 3132/RAMPS/T&P RR,I0049,1.35M NORTH OF LA 526,32.42,-93.75,1991,03,04,42200,2014,,6,4,,,,,,,,,0
LA,226040904550810916A,00080,017,70000,"S CD-RD,LNWD AVE&US 79-8",I0049,.45 MI NO OF I-49 SBL,32.5,-93.76,1993,01,02,5800,2014,,6,1,,,,,,,,,0
LA,2260409080908117512,00523,017,70000,KCSRR  LA523,LA0526,LA 526 OVER LA 523,32.4,-93.74,1977,02,04,11700,2014,,1,4,,,,,,,,,0
LA,2260409080908117522,00523,017,70000,LA 523 & KCS RR,LA0526,LA 526 OVER LA 523,32.4,-93.74,1984,02,04,11700,2014,,1,4,,,,,,,,,0
LA,2260460008601003912,00371,119,00000,KCS RR OVER LA 7,US0371,.39 MI NORTH OF US 80,32.59,-93.34,1960,00,06,9600,2014,,2,1,,,,,,,,,0
LA,2260460045103031412,00080,119,00000,US 80,I0020,3.14 MI WEST OF US 371,32.58,-93.39,1975,02,02,5000,2014,,1,1,,,,,,,,,0
LA,2260460045103031422,00080,119,00000,US 80,I0020,3.14 MI WEST OF US 371,32.58,-93.39,1975,02,02,5000,2014,,1,1,,,,,,,,,0
LA,2260460045103063422,00371,119,00000,LA 7 @ DIXIE INN,I0020,I-20 OVER US 371,32.59,-93.34,1960,02,04,9600,2014,,1,1,,,,,,,,,0
LA,2260534003802080712,00139,067,04685,AL&M RR OVERPASS,LA0139,05340380208071,32.77,-91.91,1973,00,04,4600,2014,,2,1,,,,,,,,,0
LA,2260537001531072712,00165,073,51410,PEDESTRIAN OVERPASS,US0165,05370153107271,32.51,-92.08,1972,00,04,43300,2014,,3,1,,,,,,,,,0
LA,2260537002610101512,00015,073,51410,MO PACIFIC RR,LA0015,05370261010151,32.49,-92.11,1925,00,04,9700,2014,,2,1,,,,,,,,,0
LA,2260537045106086312,00020,073,00000,I-20,LOC RD,3.6 MI EAST OF US 80,32.51,-92.27,1993,02,04,37200,2014,,1,1,,,,,,,,,0
LA,2260710000304056812,00090,019,41155,SP-KCS LOCKMOOR,US0090,3.6 MI EAST OF LA 108,30.24,-93.28,1960,00,04,9100,2014,,2,1,,,,,,,,,0
LA,226071004503000005A,00010,019,41155,I-10 & R/R,I0210,07104503000005,30.23,-93.31,1987,01,04,62000,2014,,1,4,,,,,,,,,0
LA,226071004503000005B,00210,019,41155,I-10 & R/R,I0210,07104503000005,30.23,-93.31,1987,01,05,4180,2014,,1,4,,,,,,,,,0
LA,2260710045030043822,01138,019,41155,PRIEN LAKE ROAD,I0210,I-210 OVER LA 1138-2,30.2,-93.25,1964,02,02,21200,2014,,6,1,,,,,,,,,0
LA,2260710045030085212,00014,019,41155,LA 14,I0210,I-210 OVER LA 14,30.2,-93.18,1976,02,06,25500,2014,,6,1,,,,,,,,,0
LA,2260710045030085222,00014,019,41155,LA 14,I0210,I-210 OVER LA 14,30.2,-93.18,1976,02,06,25500,2014,,6,1,,,,,,,,,0
LA,2260710045030116012,00090,019,41155,US 90,I0210,I-210 OVER US 90,30.24,-93.17,1977,02,06,6200,2014,,6,1,,,,,,,,,0
LA,2260710045030116022,00090,019,41155,US 90,I0210,I-210 OVER US 90,30.24,-93.17,1977,02,06,6200,2014,,6,1,,,,,,,,,0
LA,2260710045091206212,00010,019,73640,PEDESTRIAN OVERPASS,I0010,07104509120621,30.22,-93.37,1968,00,06,74700,2014,,3,1,,,,,,,,,0
LA,226071004509127691B,00378,019,41155,"CALCASIEU RIVER, RR, STS",I0010,I-10 OVER LA 378,30.24,-93.26,1952,04,04,21300,2014,,1,8,,,,,,,,,0
LA,226071004509127691C,00000,019,41155,"CALCASIEU RIVER, RR, STS",I0010,I-10 OVER LA 378,30.24,-93.26,1952,04,02,7210,2014,,1,8,,,,,,,,,0
LA,226071004509133791B,00210,019,41155,I210 NB TO I10 WB,I0210,I-210 NB TO I-10 WB,30.25,-93.16,1977,02,02,24000,2011,,6,1,,,,,,,,,0
LA,2260805005205000012,00471,009,70525,ATCHAFALAYA RIVER,LA0001,0.18 MI. EAST OF LA 105,30.97,-91.8,1971,02,02,200,2014,,1,6,,,,,,,,,0
LA,2260835005305008912,00001,069,53545,UNION PACIFIC RR,LA0001,0.89 MI. N. OF LA 6 BUS.,31.77,-93.09,1950,00,02,11600,2014,,2,1,,,,,,,,,0
LA,226083504550604801A,00490,069,00000,LA 490,I0049,I-49/LA 490 INTG.,31.49,-92.86,1985,02,02,126,2014,,1,1,,,,,,,,,0
LA,226083504550633921B,00049,069,00000,I-49,LOC ROAD,4.42 MI. NORTH OF LA 6,31.78,-93.19,1985,02,02,9000,2014,,6,1,,,,,,,,,0
LA,226084000083002551B,01208,079,00975,LA 1208-3,US0071,US 71/LA 1208-3 INTG.,31.28,-92.47,1972,04,06,23800,2014,,1,1,,,,,,,,,0
LA,2260840001501013912,00000,079,60530,KCS RR,165B,.5 MI. E OF INT LA1250,31.32,-92.42,2004,00,02,,2015,,2,1,,,,,,,,,0
LA,226084000153001871A,00071,079,60530,"US 71, ROCKY BAYOU",US0165,1.87 MI SOUTH JCT. US 167,31.34,-92.43,1999,02,02,12540,2014,,1,6,,,,,,,,,0
LA,226084000153001871B,00071,079,60530,"US 71, ROCKY BAYOU",US0165,1.87 MI SOUTH JCT. US 167,31.34,-92.43,1999,02,02,12540,2014,,1,6,,,,,,,,,0
LA,226084000230101241B,00167,079,00975,UP RR,US0167X,0.1 MI. WEST OF I-49,31.3,-92.45,1958,00,02,10200,2014,,2,1,,,,,,,,,0
LA,226084000230102741B,00167,079,60530,"US167 FR RDS, CITY ST, R",US0167,0.82 M. N. OF RED RIVER,31.32,-92.43,1966,02,02,51300,2014,,1,4,,,,,,,,,0
LA,226084000230102742B,00167,079,60530,"US167 FR RDS, CITY ST, R",US0167,0.82 M. N. OF RED RIVER,31.32,-92.43,1966,02,02,51300,2014,,1,4,,,,,,,,,0
LA,2260840002301077012,00071,079,60530,US 71,US0167,US 167 / US 71 INTG.,31.38,-92.43,1981,02,04,7600,2014,,1,1,,,,,,,,,0
LA,2260840002301077022,00071,079,60530,US 71,US0167,US 167 / US 71 INTG.,31.38,-92.43,1981,02,05,7600,2014,,1,1,,,,,,,,,0
LA,2260840036803119112,01208,079,00975,UP RR,LA1208-3,0.44 MI. NE OF LA 1,31.31,-92.45,1993,00,02,7700,2014,,2,1,,,,,,,,,0
LA,226084004550525432D,00049,079,00975,"US 71, RAMPS, UP RR",I0049,6.91 MI. NORTH OF LA 3265,31.24,-92.43,1992,02,01,1440,2014,,1,4,,,,,,,,,0
LA,226084004550525432E,00000,079,00975,"US 71, RAMPS, UP RR",I0049,6.91 MI. NORTH OF LA 3265,31.24,-92.43,1992,02,01,1510,2009,,1,4,,,,,,,,,0
LA,226084004550525437A,00049,079,00975,"US 71, UP RR, RAMP A-1",I0049,6.91 MI. NORTH OF LA 3265,31.24,-92.43,1992,01,01,1440,2014,,1,8,,,,,,,,,0
LA,226084004550529746G,00001,079,00975,"I-49, US 167, RAMPS, CIT",I0049,I-49/US 167 INTG.,31.3,-92.44,1994,02,02,4680,2014,,1,1,,,,,,,,,0
LA,226084004550529746F,00001,079,00975,"I-49, US 167, RAMPS, CIT",I0049,I-49/US 167 INTG.,31.3,-92.44,1994,02,02,4680,2014,,1,1,,,,,,,,,0
LA,226084004550535541B,00498,079,00975,LA 498,LA0498,I-49 / LA 498 INTG.,31.35,-92.52,1992,02,02,804,2014,,1,1,,,,,,,,,0
LA,226084004550535542B,00498,079,00975,LA 498,LA0498,I-49 / LA 498 INTG.,31.35,-92.52,1992,04,02,804,2014,,1,1,,,,,,,,,0
LA,226084004550535542A,00498,079,00975,LA 498,LA0498,I-49 / LA 498 INTG.,31.35,-92.52,1992,04,02,804,2014,,1,1,,,,,,,,,0
LA,226084004550544841B,00120,079,00000,LA 1200,I0049,I-49 / LA 1200 INTG.,31.38,-92.67,1989,02,02,816,2014,,1,1,,,,,,,,,0
LA,226084004550544841A,01200,079,00000,LA 1200,I0049,I-49 / LA 1200 INTG.,31.38,-92.67,1989,02,04,816,2014,,1,1,,,,,,,,,0
LA,226084008404300001A,00071,079,00975,"LA 1, FR. ROAD, UP RR",US0071,0.67 MI. NE OF LA 498,31.32,-92.47,1996,02,01,3540,2014,,1,4,,,,,,,,,0
LA,226084008404300001B,00001,079,00975,"LA 1, FR. ROAD, UP RR",US0071,0.67 MI. NE OF LA 498,31.32,-92.47,1996,02,04,7900,2014,,1,4,,,,,,,,,0
LA,226084008404300001C,00049,079,00975,"LA 1, FR. ROAD, UP RR",US0071,0.67 MI. NE OF LA 498,31.32,-92.47,1996,02,01,1440,2014,,1,4,,,,,,,,,0
LA,226084008404300058A,00001,079,00975,LA 1,US0071,0.69 MI. SW OF I-49,31.32,-92.47,1994,01,04,7900,2014,,1,1,,,,,,,,,0
LA,2260858002501003412,00171,115,43010,KCS RR,US0171,0.34 M. N. OF S. JCT. LA,31.15,-93.26,1939,00,02,13560,2014,,2,1,,,,,,,,,0
LA,2266103080304001712,00945,005,21240,M.P. RR UPASS,LA0945,61038030400171,30.1,-90.99,1939,00,02,3700,2014,,2,1,,,,,,,,,0
LA,2266104042406000182,00090,007,00000,WEST BOUND RAMP (OFF),US0090,61044240600018,29.67,-91.1,1998,01,08,25000,2014,,1,1,,,,,,,,,0
LA,226610404240600907A,00662,007,00000,EAST BOUND OFF RAMP,0S0090,61044240600907,29.67,-91.09,1996,01,04,4700,2014,,1,1,,,,,,,,,0
LA,226610404240600907B,00090,007,00000,EAST BOUND OFF RAMP,0S0090,61044240600907,29.67,-91.09,1996,01,04,25000,2014,,1,1,,,,,,,,,0
LA,226611700079011541A,00190,033,05000,US 190 UNDER ICG RR,US0190,61170079011541,30.51,-91.18,1939,00,04,16380,2014,,2,1,,,,,,,,,0
LA,226611700079011541B,00190,033,05000,US 190 UNDER ICG RR,US0190,61170079011541,30.51,-91.18,1939,00,02,16380,2014,,2,1,,,,,,,,,0
LA,2266117001902015912,00061,033,05000,PEDESTRIAN OVERPASS,US0061,61170190201591,30.54,-91.19,1983,00,05,29000,2014,,3,1,,,,,,,,,0
LA,2266117045092015512,00110,033,05000,KCS RR UPASS,I0110,61174509201551,30.46,-91.18,1957,00,06,83900,2014,,2,1,,,,,,,,,0
LA,2266117045092075012,00110,033,05000,PEDESTRAIN OVERPASS,I0110,SCOTLAND COMMUNITY CENTER,30.53,-91.17,1982,00,06,51600,2014,,3,1,,,,,,,,,0
LA,226611704540101731B,01068,033,05000,JEFFERSON HWY&WARDS CRK,I0012,I-12 E.B. @ JEFFERSON HWY,30.42,-91.09,1999,03,03,13200,2014,,1,6,,,,,,,,,0
LA,2266117081720030712,00061,033,05000,CHIPPEWA RR U PAS,US0061X,61178172002301,30.47,-91.18,1958,00,04,13200,2014,,2,1,,,,,,,,,0
LA,2266117081720030812,00061,033,05000,CHIPPEWA RR U PAS,US0061X,61178172002321,30.47,-91.18,1958,00,04,13200,2014,,2,1,,,,,,,,,0
LA,2266252045018010012,00000,103,70805,EDEN ISLES OVER I-10,I0010,1.0M N LAKE PONTCHARTRAIN,30.22,-89.78,1989,05,06,29900,2014,,1,6,,,,,,,,,0
LA,2266252045302000012,00059,103,00000,LOCAL RD EAST PEARL RIVE,I0059,I0059,30.46,-89.7,1958,02,02,33900,2014,,6,6,,,,,,,,,0
LA,2266252045302000022,00059,103,00000,LOCAL RD EAST PEARL RIVE,I0059,I0059,30.46,-89.7,1958,02,02,33900,2014,,6,6,,,,,,,,,0
LA,226625204540407961B,00012,103,00000,TCHEFUNCTE RIVER,I0012,I0012,30.44,-90.12,1975,02,02,68700,2014,,1,6,,,,,,,,,0
LA,226625204540407972B,00012,103,00000,TCHEFUNCTE RIVER,I0012,I0012,30.44,-90.12,1975,02,02,68700,2014,,1,6,,,,,,,,,0
LA,226625204540407972A,00012,103,00000,TCHEFUNCTE RIVER,I0012,I0012,30.44,-90.12,1975,02,02,68700,2014,,1,6,,,,,,,,,0
LA,2266253305629030611,00000,105,39545,CANAL,LOCAL ROAD,LA38S.5TH.01 MI FIRESTATI,30.94,-90.51,1995,02,00,,2015,P,1,5,0813,,,,,,2035,0,65
LA,2260226295219004911,00000,051,00000,COUSINS CANAL,CITY STREET,0.9 MI N OF OAKMERE,29.87,-90.07,2001,04,00,,2015,A,5,5,0115,,,,,,2035,2,96
LA,2260226295269002611,00000,051,31915,VERRET CANAL,LOCAL ROAD,0.3MI.E.OF MANHATTAN,29.88,-90.04,1976,03,00,30000,1979,A,5,5,0115,,,,,51000,2035,0,79.5
LA,2260236045034032081,00610,071,55000,OFF RP TO PARIS AVE,I0610,3.3 MI EAST OF I-10,29.99,-90.07,1974,01,00,9870,2014,A,1,0,1113,,,,,16779,2035,0,89.8
